"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E06000023","Bristol, City of","E01014646","Bristol 042B",106875
"E06000023","Bristol, City of","E01033366","Bristol 023H",120790
"E06000023","Bristol, City of","E01014706","Bristol 049E",148000
"E06000023","Bristol, City of","E01033356","Bristol 056C",149950
"E06000023","Bristol, City of","E01033370","Bristol 054E",160000
"E06000023","Bristol, City of","E01033348","Bristol 023G",164800
"E06000023","Bristol, City of","E01014585","Bristol 044C",165500
"E06000023","Bristol, City of","E01032514","Bristol 053E",170000
"E06000023","Bristol, City of","E01014726","Bristol 053B",172500
"E06000023","Bristol, City of","E01014727","Bristol 053C",175000
"E06000023","Bristol, City of","E01014580","Bristol 045B",180000
"E06000023","Bristol, City of","E01014593","Bristol 051A",180000
"E06000023","Bristol, City of","E01014605","Bristol 001E",180000
"E06000023","Bristol, City of","E01014610","Bristol 047D",180000
"E06000023","Bristol, City of","E01014638","Bristol 003C",181000
"E06000023","Bristol, City of","E01014581","Bristol 045C",181500
"E06000023","Bristol, City of","E01014517","Bristol 050C",183000
"E06000023","Bristol, City of","E01014594","Bristol 048A",183000
"E06000023","Bristol, City of","E01014496","Bristol 008E",183500
"E06000023","Bristol, City of","E01014597","Bristol 051D",184995
"E06000023","Bristol, City of","E01014537","Bristol 035F",185000
"E06000023","Bristol, City of","E01014583","Bristol 044B",185000
"E06000023","Bristol, City of","E01014584","Bristol 045E",185750
"E06000023","Bristol, City of","E01032515","Bristol 053F",187475
"E06000023","Bristol, City of","E01014588","Bristol 013A",190000
"E06000023","Bristol, City of","E01014596","Bristol 051C",190000
"E06000023","Bristol, City of","E01014595","Bristol 051B",191250
"E06000023","Bristol, City of","E01014516","Bristol 050B",193000
"E06000023","Bristol, City of","E01032517","Bristol 001H",193500
"E06000023","Bristol, City of","E01014529","Bristol 035B",195000
"E06000023","Bristol, City of","E01014647","Bristol 044D",195000
"E06000023","Bristol, City of","E01014703","Bristol 049B",196000
"E06000023","Bristol, City of","E01014499","Bristol 008F",196200
"E06000023","Bristol, City of","E01033353","Bristol 054B",197000
"E06000023","Bristol, City of","E01014639","Bristol 003D",197250
"E06000023","Bristol, City of","E01014497","Bristol 003A",197500
"E06000023","Bristol, City of","E01014582","Bristol 045D",198000
"E06000023","Bristol, City of","E01014678","Bristol 033B",198500
"E06000023","Bristol, City of","E01014536","Bristol 043D",200000
"E06000023","Bristol, City of","E01014608","Bristol 047B",202500
"E06000023","Bristol, City of","E01014682","Bristol 028A",203500
"E06000023","Bristol, City of","E01014692","Bristol 002E",203725
"E06000023","Bristol, City of","E01014498","Bristol 003B",204475
"E06000023","Bristol, City of","E01014492","Bristol 008A",205000
"E06000023","Bristol, City of","E01014640","Bristol 003E",205750
"E06000023","Bristol, City of","E01014578","Bristol 044A",207498
"E06000023","Bristol, City of","E01014683","Bristol 028B",207500
"E06000023","Bristol, City of","E01014659","Bristol 005C",208900
"E06000023","Bristol, City of","E01014522","Bristol 050D",209000
"E06000023","Bristol, City of","E01014612","Bristol 052B",209995
"E06000023","Bristol, City of","E01014602","Bristol 001B",210000
"E06000023","Bristol, City of","E01033369","Bristol 056D",210000
"E06000023","Bristol, City of","E01014663","Bristol 014B",210000
"E06000023","Bristol, City of","E01014674","Bristol 027B",212000
"E06000023","Bristol, City of","E01014675","Bristol 027C",212000
"E06000023","Bristol, City of","E01014526","Bristol 038D",213500
"E06000023","Bristol, City of","E01014679","Bristol 033C",214000
"E06000023","Bristol, City of","E01033362","Bristol 039G",215000
"E06000023","Bristol, City of","E01014574","Bristol 057D",215000
"E06000023","Bristol, City of","E01014598","Bristol 048B",215500
"E06000023","Bristol, City of","E01014627","Bristol 021D",216000
"E06000023","Bristol, City of","E01014673","Bristol 027A",219975
"E06000023","Bristol, City of","E01014575","Bristol 019C",220000
"E06000023","Bristol, City of","E01014650","Bristol 044E",220000
"E06000023","Bristol, City of","E01014685","Bristol 028C",220000
"E06000023","Bristol, City of","E01014689","Bristol 002B",220000
"E06000023","Bristol, City of","E01033359","Bristol 039E",220000
"E06000023","Bristol, City of","E01014518","Bristol 046A",220500
"E06000023","Bristol, City of","E01014613","Bristol 047E",221500
"E06000023","Bristol, City of","E01014630","Bristol 005A",222050
"E06000023","Bristol, City of","E01014609","Bristol 047C",222250
"E06000023","Bristol, City of","E01014579","Bristol 045A",223250
"E06000023","Bristol, City of","E01014495","Bristol 008D",225000
"E06000023","Bristol, City of","E01014524","Bristol 038B",225000
"E06000023","Bristol, City of","E01014687","Bristol 028E",225000
"E06000023","Bristol, City of","E01014572","Bristol 019A",226000
"E06000023","Bristol, City of","E01014607","Bristol 047A",226000
"E06000023","Bristol, City of","E01014624","Bristol 018A",226555
"E06000023","Bristol, City of","E01014694","Bristol 002G",226750
"E06000023","Bristol, City of","E01014589","Bristol 013B",227000
"E06000023","Bristol, City of","E01033352","Bristol 054A",227000
"E06000023","Bristol, City of","E01014603","Bristol 001C",227500
"E06000023","Bristol, City of","E01014626","Bristol 021C",228000
"E06000023","Bristol, City of","E01014519","Bristol 046B",228750
"E06000023","Bristol, City of","E01014730","Bristol 037A",228750
"E06000023","Bristol, City of","E01014528","Bristol 035A",230000
"E06000023","Bristol, City of","E01014600","Bristol 048D",230000
"E06000023","Bristol, City of","E01014629","Bristol 018D",231500
"E06000023","Bristol, City of","E01014530","Bristol 035C",232000
"E06000023","Bristol, City of","E01033358","Bristol 054D",232000
"E06000023","Bristol, City of","E01014635","Bristol 010B",232500
"E06000023","Bristol, City of","E01032518","Bristol 018E",234000
"E06000023","Bristol, City of","E01014622","Bristol 021A",235000
"E06000023","Bristol, City of","E01014653","Bristol 055B",235000
"E06000023","Bristol, City of","E01014699","Bristol 036D",235000
"E06000023","Bristol, City of","E01033347","Bristol 023F",235000
"E06000023","Bristol, City of","E01014722","Bristol 052C",236500
"E06000023","Bristol, City of","E01014681","Bristol 029D",237498
"E06000023","Bristol, City of","E01014493","Bristol 008B",237500
"E06000023","Bristol, City of","E01014702","Bristol 049A",237500
"E06000023","Bristol, City of","E01014660","Bristol 014A",238000
"E06000023","Bristol, City of","E01014690","Bristol 002C",239000
"E06000023","Bristol, City of","E01014677","Bristol 033A",239750
"E06000023","Bristol, City of","E01014686","Bristol 028D",239900
"E06000023","Bristol, City of","E01014661","Bristol 005D",240000
"E06000023","Bristol, City of","E01014676","Bristol 027D",240500
"E06000023","Bristol, City of","E01014523","Bristol 038A",241500
"E06000023","Bristol, City of","E01014601","Bristol 001A",242500
"E06000023","Bristol, City of","E01014688","Bristol 002A",244000
"E06000023","Bristol, City of","E01014623","Bristol 021B",244500
"E06000023","Bristol, City of","E01014521","Bristol 046D",245000
"E06000023","Bristol, City of","E01014567","Bristol 029C",245000
"E06000023","Bristol, City of","E01014573","Bristol 019B",245000
"E06000023","Bristol, City of","E01014729","Bristol 040A",246250
"E06000023","Bristol, City of","E01014693","Bristol 002F",246500
"E06000023","Bristol, City of","E01014680","Bristol 033D",247975
"E06000023","Bristol, City of","E01014494","Bristol 008C",248000
"E06000023","Bristol, City of","E01014599","Bristol 048C",248250
"E06000023","Bristol, City of","E01014645","Bristol 042A",248975
"E06000023","Bristol, City of","E01014704","Bristol 049C",249995
"E06000023","Bristol, City of","E01014654","Bristol 056A",249999
"E06000023","Bristol, City of","E01014501","Bristol 041A",250000
"E06000023","Bristol, City of","E01014644","Bristol 007D",250000
"E06000023","Bristol, City of","E01014691","Bristol 002D",250000
"E06000023","Bristol, City of","E01014707","Bristol 049F",250000
"E06000023","Bristol, City of","E01014732","Bristol 037C",250000
"E06000023","Bristol, City of","E01033342","Bristol 025E",250250
"E06000023","Bristol, City of","E01014723","Bristol 052D",253000
"E06000023","Bristol, City of","E01014515","Bristol 050A",254000
"E06000023","Bristol, City of","E01032519","Bristol 018F",255000
"E06000023","Bristol, City of","E01014566","Bristol 029B",255582
"E06000023","Bristol, City of","E01014576","Bristol 019D",256000
"E06000023","Bristol, City of","E01014527","Bristol 038E",256500
"E06000023","Bristol, City of","E01014565","Bristol 029A",257000
"E06000023","Bristol, City of","E01014571","Bristol 012A",258750
"E06000023","Bristol, City of","E01014643","Bristol 007C",259975
"E06000023","Bristol, City of","E01014684","Bristol 029E",260000
"E06000023","Bristol, City of","E01033361","Bristol 039F",260000
"E06000023","Bristol, City of","E01014736","Bristol 040D",261000
"E06000023","Bristol, City of","E01014614","Bristol 047F",263750
"E06000023","Bristol, City of","E01014725","Bristol 052E",264975
"E06000023","Bristol, City of","E01014535","Bristol 043C",266400
"E06000023","Bristol, City of","E01014489","Bristol 023D",270000
"E06000023","Bristol, City of","E01014500","Bristol 039A",270000
"E06000023","Bristol, City of","E01033367","Bristol 025F",270000
"E06000023","Bristol, City of","E01014592","Bristol 013E",270000
"E06000023","Bristol, City of","E01014586","Bristol 012C",270000
"E06000023","Bristol, City of","E01014705","Bristol 049D",270000
"E06000023","Bristol, City of","E01033345","Bristol 032F",270000
"E06000023","Bristol, City of","E01014520","Bristol 046C",272000
"E06000023","Bristol, City of","E01032516","Bristol 001G",272500
"E06000023","Bristol, City of","E01014564","Bristol 055A",274000
"E06000023","Bristol, City of","E01014655","Bristol 055C",275000
"E06000023","Bristol, City of","E01033344","Bristol 032E",276000
"E06000023","Bristol, City of","E01014636","Bristol 004D",276500
"E06000023","Bristol, City of","E01014591","Bristol 013D",278000
"E06000023","Bristol, City of","E01014532","Bristol 035E",279000
"E06000023","Bristol, City of","E01014542","Bristol 032C",279300
"E06000023","Bristol, City of","E01014525","Bristol 038C",280000
"E06000023","Bristol, City of","E01014568","Bristol 057A",280000
"E06000023","Bristol, City of","E01014577","Bristol 012B",280000
"E06000023","Bristol, City of","E01014664","Bristol 014C",282000
"E06000023","Bristol, City of","E01014611","Bristol 052A",283000
"E06000023","Bristol, City of","E01014569","Bristol 057B",287000
"E06000023","Bristol, City of","E01014632","Bristol 004B",288000
"E06000023","Bristol, City of","E01014665","Bristol 014D",288500
"E06000023","Bristol, City of","E01033364","Bristol 039H",289000
"E06000023","Bristol, City of","E01014548","Bristol 034A",290000
"E06000023","Bristol, City of","E01014563","Bristol 025D",292500
"E06000023","Bristol, City of","E01014570","Bristol 057C",294000
"E06000023","Bristol, City of","E01014531","Bristol 035D",295000
"E06000023","Bristol, City of","E01014502","Bristol 039B",295995
"E06000023","Bristol, City of","E01014590","Bristol 013C",296998
"E06000023","Bristol, City of","E01014486","Bristol 023B",297500
"E06000023","Bristol, City of","E01014534","Bristol 043B",297500
"E06000023","Bristol, City of","E01014670","Bristol 020E",302500
"E06000023","Bristol, City of","E01014662","Bristol 010D",305000
"E06000023","Bristol, City of","E01014731","Bristol 037B",305000
"E06000023","Bristol, City of","E01033350","Bristol 032G",306000
"E06000023","Bristol, City of","E01014735","Bristol 037D",312000
"E06000023","Bristol, City of","E01014533","Bristol 043A",315000
"E06000023","Bristol, City of","E01014698","Bristol 036C",315000
"E06000023","Bristol, City of","E01014695","Bristol 036A",315500
"E06000023","Bristol, City of","E01014558","Bristol 022B",316775
"E06000023","Bristol, City of","E01014708","Bristol 049G",317500
"E06000023","Bristol, City of","E01014709","Bristol 015A",317500
"E06000023","Bristol, City of","E01014509","Bristol 016C",320000
"E06000023","Bristol, City of","E01014634","Bristol 005B",320000
"E06000023","Bristol, City of","E01014720","Bristol 006C",320000
"E06000023","Bristol, City of","E01014733","Bristol 040B",320000
"E06000023","Bristol, City of","E01014631","Bristol 004A",321475
"E06000023","Bristol, City of","E01014485","Bristol 023A",323000
"E06000023","Bristol, City of","E01014561","Bristol 025C",325000
"E06000023","Bristol, City of","E01014505","Bristol 041C",326900
"E06000023","Bristol, City of","E01014555","Bristol 034D",327000
"E06000023","Bristol, City of","E01014549","Bristol 034B",328750
"E06000023","Bristol, City of","E01014587","Bristol 012D",330000
"E06000023","Bristol, City of","E01033355","Bristol 054C",330000
"E06000023","Bristol, City of","E01014538","Bristol 032A",332500
"E06000023","Bristol, City of","E01014510","Bristol 010A",333750
"E06000023","Bristol, City of","E01014649","Bristol 042D",339950
"E06000023","Bristol, City of","E01014551","Bristol 026A",340000
"E06000023","Bristol, City of","E01014504","Bristol 041B",340250
"E06000023","Bristol, City of","E01014633","Bristol 004C",347500
"E06000023","Bristol, City of","E01014506","Bristol 041D",355000
"E06000023","Bristol, City of","E01014540","Bristol 032B",355000
"E06000023","Bristol, City of","E01014491","Bristol 020B",358000
"E06000023","Bristol, City of","E01014562","Bristol 022E",361500
"E06000023","Bristol, City of","E01014700","Bristol 036E",362500
"E06000023","Bristol, City of","E01014487","Bristol 020A",365000
"E06000023","Bristol, City of","E01014669","Bristol 020D",365000
"E06000023","Bristol, City of","E01014554","Bristol 026D",366500
"E06000023","Bristol, City of","E01014734","Bristol 040C",366793
"E06000023","Bristol, City of","E01014651","Bristol 042E",369000
"E06000023","Bristol, City of","E01014701","Bristol 036F",370000
"E06000023","Bristol, City of","E01014642","Bristol 007B",371250
"E06000023","Bristol, City of","E01014648","Bristol 042C",371500
"E06000023","Bristol, City of","E01014508","Bristol 016B",372250
"E06000023","Bristol, City of","E01014721","Bristol 006D",372500
"E06000023","Bristol, City of","E01014560","Bristol 022D",373000
