"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E07000204","St Edmundsbury","E01030114","St Edmundsbury 014F",175000
"E07000204","St Edmundsbury","E01030105","St Edmundsbury 014A",180500
"E07000204","St Edmundsbury","E01030109","St Edmundsbury 012A",188750
"E07000204","St Edmundsbury","E01030106","St Edmundsbury 014B",190000
"E07000204","St Edmundsbury","E01030139","St Edmundsbury 003C",192475
"E07000204","St Edmundsbury","E01030118","St Edmundsbury 013D",192500
"E07000204","St Edmundsbury","E01030108","St Edmundsbury 014D",197500
"E07000204","St Edmundsbury","E01030132","St Edmundsbury 002C",200000
"E07000204","St Edmundsbury","E01030141","St Edmundsbury 003E",201000
"E07000204","St Edmundsbury","E01030131","St Edmundsbury 003B",207000
"E07000204","St Edmundsbury","E01030140","St Edmundsbury 003D",212000
"E07000204","St Edmundsbury","E01030113","St Edmundsbury 014E",213000
"E07000204","St Edmundsbury","E01033049","St Edmundsbury 009G",216500
"E07000204","St Edmundsbury","E01030110","St Edmundsbury 012B",220000
"E07000204","St Edmundsbury","E01030143","St Edmundsbury 009C",222500
"E07000204","St Edmundsbury","E01030137","St Edmundsbury 006D",226000
"E07000204","St Edmundsbury","E01030138","St Edmundsbury 004C",233850
"E07000204","St Edmundsbury","E01030128","St Edmundsbury 005C",235000
"E07000204","St Edmundsbury","E01030117","St Edmundsbury 013C",237000
"E07000204","St Edmundsbury","E01033047","St Edmundsbury 006G",238007
"E07000204","St Edmundsbury","E01030149","St Edmundsbury 007F",238750
"E07000204","St Edmundsbury","E01030145","St Edmundsbury 001D",240000
"E07000204","St Edmundsbury","E01030130","St Edmundsbury 003A",241250
"E07000204","St Edmundsbury","E01030112","St Edmundsbury 012D",242975
"E07000204","St Edmundsbury","E01030125","St Edmundsbury 007D",245000
"E07000204","St Edmundsbury","E01030148","St Edmundsbury 007E",251750
"E07000204","St Edmundsbury","E01030127","St Edmundsbury 005B",263000
"E07000204","St Edmundsbury","E01030146","St Edmundsbury 001E",263000
"E07000204","St Edmundsbury","E01030094","St Edmundsbury 002A",270750
"E07000204","St Edmundsbury","E01030092","St Edmundsbury 007A",272500
"E07000204","St Edmundsbury","E01030120","St Edmundsbury 011A",273250
"E07000204","St Edmundsbury","E01030115","St Edmundsbury 013A",275000
"E07000204","St Edmundsbury","E01033046","St Edmundsbury 006F",275000
"E07000204","St Edmundsbury","E01030116","St Edmundsbury 013B",279950
"E07000204","St Edmundsbury","E01030111","St Edmundsbury 012C",285000
"E07000204","St Edmundsbury","E01030144","St Edmundsbury 009D",288500
"E07000204","St Edmundsbury","E01030093","St Edmundsbury 006B",289000
"E07000204","St Edmundsbury","E01030119","St Edmundsbury 008C",290000
"E07000204","St Edmundsbury","E01030101","St Edmundsbury 010B",291000
"E07000204","St Edmundsbury","E01033044","St Edmundsbury 005E",294995
"E07000204","St Edmundsbury","E01030107","St Edmundsbury 014C",295750
"E07000204","St Edmundsbury","E01030122","St Edmundsbury 011B",303750
"E07000204","St Edmundsbury","E01030124","St Edmundsbury 007C",304000
"E07000204","St Edmundsbury","E01030151","St Edmundsbury 011C",309995
"E07000204","St Edmundsbury","E01030103","St Edmundsbury 004A",309998
"E07000204","St Edmundsbury","E01030099","St Edmundsbury 010A",310000
"E07000204","St Edmundsbury","E01033048","St Edmundsbury 009F",310000
"E07000204","St Edmundsbury","E01033050","St Edmundsbury 005G",311250
"E07000204","St Edmundsbury","E01030098","St Edmundsbury 008A",313000
"E07000204","St Edmundsbury","E01030095","St Edmundsbury 001A",316000
"E07000204","St Edmundsbury","E01030147","St Edmundsbury 009E",318000
"E07000204","St Edmundsbury","E01033043","St Edmundsbury 006E",320000
"E07000204","St Edmundsbury","E01030129","St Edmundsbury 005D",321750
"E07000204","St Edmundsbury","E01030121","St Edmundsbury 002B",322500
"E07000204","St Edmundsbury","E01033045","St Edmundsbury 005F",324000
"E07000204","St Edmundsbury","E01030096","St Edmundsbury 001B",327500
"E07000204","St Edmundsbury","E01030100","St Edmundsbury 008B",333750
"E07000204","St Edmundsbury","E01030133","St Edmundsbury 002D",335000
"E07000204","St Edmundsbury","E01030142","St Edmundsbury 009B",342000
"E07000204","St Edmundsbury","E01030091","St Edmundsbury 006A",350000
"E07000204","St Edmundsbury","E01030123","St Edmundsbury 007B",352500
"E07000204","St Edmundsbury","E01030097","St Edmundsbury 001C",363500
"E07000204","St Edmundsbury","E01030104","St Edmundsbury 004B",374998
"E07000204","St Edmundsbury","E01030135","St Edmundsbury 008E",387500
"E07000204","St Edmundsbury","E01030150","St Edmundsbury 010C",395000
"E07000204","St Edmundsbury","E01030134","St Edmundsbury 008D",499950
