"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E07000135","Oadby and Wigston","E01025989","Oadby and Wigston 006E",127250
"E07000135","Oadby and Wigston","E01025988","Oadby and Wigston 006D",129750
"E07000135","Oadby and Wigston","E01025987","Oadby and Wigston 006C",136250
"E07000135","Oadby and Wigston","E01025994","Oadby and Wigston 005B",157000
"E07000135","Oadby and Wigston","E01025998","Oadby and Wigston 007D",158000
"E07000135","Oadby and Wigston","E01025978","Oadby and Wigston 003F",163500
"E07000135","Oadby and Wigston","E01025997","Oadby and Wigston 005C",165500
"E07000135","Oadby and Wigston","E01025986","Oadby and Wigston 006B",175000
"E07000135","Oadby and Wigston","E01032601","Oadby and Wigston 008E",176000
"E07000135","Oadby and Wigston","E01025985","Oadby and Wigston 006A",176250
"E07000135","Oadby and Wigston","E01026001","Oadby and Wigston 007F",177500
"E07000135","Oadby and Wigston","E01032600","Oadby and Wigston 008D",179500
"E07000135","Oadby and Wigston","E01025990","Oadby and Wigston 007A",180000
"E07000135","Oadby and Wigston","E01025977","Oadby and Wigston 003E",181000
"E07000135","Oadby and Wigston","E01025992","Oadby and Wigston 005A",182475
"E07000135","Oadby and Wigston","E01025995","Oadby and Wigston 008A",188100
"E07000135","Oadby and Wigston","E01026005","Oadby and Wigston 005E",190000
"E07000135","Oadby and Wigston","E01025993","Oadby and Wigston 007C",192000
"E07000135","Oadby and Wigston","E01025999","Oadby and Wigston 005D",192500
"E07000135","Oadby and Wigston","E01026003","Oadby and Wigston 008B",198000
"E07000135","Oadby and Wigston","E01025974","Oadby and Wigston 009B",207000
"E07000135","Oadby and Wigston","E01026000","Oadby and Wigston 007E",209500
"E07000135","Oadby and Wigston","E01025976","Oadby and Wigston 003D",220750
"E07000135","Oadby and Wigston","E01026004","Oadby and Wigston 008C",230000
"E07000135","Oadby and Wigston","E01025991","Oadby and Wigston 007B",234500
"E07000135","Oadby and Wigston","E01025971","Oadby and Wigston 003B",235000
"E07000135","Oadby and Wigston","E01025981","Oadby and Wigston 009F",235000
"E07000135","Oadby and Wigston","E01025979","Oadby and Wigston 009E",235000
"E07000135","Oadby and Wigston","E01025983","Oadby and Wigston 009H",237500
"E07000135","Oadby and Wigston","E01025972","Oadby and Wigston 003C",260000
"E07000135","Oadby and Wigston","E01025970","Oadby and Wigston 003A",270000
"E07000135","Oadby and Wigston","E01025980","Oadby and Wigston 009D",283750
"E07000135","Oadby and Wigston","E01025984","Oadby and Wigston 009I",318000
"E07000135","Oadby and Wigston","E01025982","Oadby and Wigston 009G",324500
"E07000135","Oadby and Wigston","E01025975","Oadby and Wigston 009C",467500
"E07000135","Oadby and Wigston","E01025973","Oadby and Wigston 009A",525000
