"LA_code","LA_name","LSOA_code","LSOA_name","house_price"
"E07000009","East Cambridgeshire","E01018052","East Cambridgeshire 006F",195000
"E07000009","East Cambridgeshire","E01018044","East Cambridgeshire 001C",197500
"E07000009","East Cambridgeshire","E01018050","East Cambridgeshire 006D",214850
"E07000009","East Cambridgeshire","E01018045","East Cambridgeshire 001D",220000
"E07000009","East Cambridgeshire","E01033429","East Cambridgeshire 006H",220000
"E07000009","East Cambridgeshire","E01018056","East Cambridgeshire 002E",220000
"E07000009","East Cambridgeshire","E01033427","East Cambridgeshire 006G",220000
"E07000009","East Cambridgeshire","E01018042","East Cambridgeshire 001A",225000
"E07000009","East Cambridgeshire","E01018046","East Cambridgeshire 001E",230000
"E07000009","East Cambridgeshire","E01018049","East Cambridgeshire 006C",230000
"E07000009","East Cambridgeshire","E01018029","East Cambridgeshire 003C",236000
"E07000009","East Cambridgeshire","E01018025","East Cambridgeshire 004B",240000
"E07000009","East Cambridgeshire","E01018035","East Cambridgeshire 007B",240000
"E07000009","East Cambridgeshire","E01018043","East Cambridgeshire 001B",240000
"E07000009","East Cambridgeshire","E01018021","East Cambridgeshire 002B",250000
"E07000009","East Cambridgeshire","E01018047","East Cambridgeshire 006A",260000
"E07000009","East Cambridgeshire","E01018038","East Cambridgeshire 005C",262500
"E07000009","East Cambridgeshire","E01018022","East Cambridgeshire 002C",265000
"E07000009","East Cambridgeshire","E01018051","East Cambridgeshire 006E",267995
"E07000009","East Cambridgeshire","E01018036","East Cambridgeshire 005A",270000
"E07000009","East Cambridgeshire","E01018055","East Cambridgeshire 002D",270000
"E07000009","East Cambridgeshire","E01018014","East Cambridgeshire 008B",271250
"E07000009","East Cambridgeshire","E01018039","East Cambridgeshire 005D",279000
"E07000009","East Cambridgeshire","E01018026","East Cambridgeshire 004C",279995
"E07000009","East Cambridgeshire","E01018041","East Cambridgeshire 007D",280000
"E07000009","East Cambridgeshire","E01018054","East Cambridgeshire 005F",282750
"E07000009","East Cambridgeshire","E01033430","East Cambridgeshire 003G",285000
"E07000009","East Cambridgeshire","E01033428","East Cambridgeshire 004G",287500
"E07000009","East Cambridgeshire","E01018034","East Cambridgeshire 007A",295000
"E07000009","East Cambridgeshire","E01018033","East Cambridgeshire 003E",296250
"E07000009","East Cambridgeshire","E01018019","East Cambridgeshire 011B",297000
"E07000009","East Cambridgeshire","E01018020","East Cambridgeshire 002A",301000
"E07000009","East Cambridgeshire","E01018030","East Cambridgeshire 004D",310000
"E07000009","East Cambridgeshire","E01018013","East Cambridgeshire 008A",315000
"E07000009","East Cambridgeshire","E01018016","East Cambridgeshire 008D",319998
"E07000009","East Cambridgeshire","E01018027","East Cambridgeshire 003A",330000
"E07000009","East Cambridgeshire","E01018015","East Cambridgeshire 008C",335000
"E07000009","East Cambridgeshire","E01018040","East Cambridgeshire 007C",344000
"E07000009","East Cambridgeshire","E01018024","East Cambridgeshire 004A",345000
"E07000009","East Cambridgeshire","E01018032","East Cambridgeshire 003D",345000
"E07000009","East Cambridgeshire","E01018037","East Cambridgeshire 005B",345000
"E07000009","East Cambridgeshire","E01033426","East Cambridgeshire 003F",353500
"E07000009","East Cambridgeshire","E01018017","East Cambridgeshire 011A",380000
"E07000009","East Cambridgeshire","E01018053","East Cambridgeshire 005E",381500
"E07000009","East Cambridgeshire","E01033425","East Cambridgeshire 004F",390000
"E07000009","East Cambridgeshire","E01018057","East Cambridgeshire 009C",400000
"E07000009","East Cambridgeshire","E01018012","East Cambridgeshire 009B",422498
"E07000009","East Cambridgeshire","E01018011","East Cambridgeshire 009A",425000
"E07000009","East Cambridgeshire","E01032611","East Cambridgeshire 011D",432000
"E07000009","East Cambridgeshire","E01018023","East Cambridgeshire 011C",435000
