"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E06000040","Windsor and Maidenhead","E01016524","Windsor and Maidenhead 017C","715000"
"E06000040","Windsor and Maidenhead","E01016522","Windsor and Maidenhead 017A","697500"
"E06000040","Windsor and Maidenhead","E01016523","Windsor and Maidenhead 017B","662250"
"E06000040","Windsor and Maidenhead","E01016526","Windsor and Maidenhead 006A","547500"
"E06000040","Windsor and Maidenhead","E01016525","Windsor and Maidenhead 005A","487475"
"E06000040","Windsor and Maidenhead","E01016527","Windsor and Maidenhead 006B","455000"
"E06000040","Windsor and Maidenhead","E01016529","Windsor and Maidenhead 005C","318750"
"E06000040","Windsor and Maidenhead","E01016528","Windsor and Maidenhead 005B","400000"
"E06000040","Windsor and Maidenhead","E01016531","Windsor and Maidenhead 002B","617500"
"E06000040","Windsor and Maidenhead","E01016532","Windsor and Maidenhead 002C","525000"
"E06000040","Windsor and Maidenhead","E01016530","Windsor and Maidenhead 002A","450000"
"E06000040","Windsor and Maidenhead","E01016533","Windsor and Maidenhead 002D","781000"
"E06000040","Windsor and Maidenhead","E01016536","Windsor and Maidenhead 005D","386250"
"E06000040","Windsor and Maidenhead","E01016538","Windsor and Maidenhead 007C","383500"
"E06000040","Windsor and Maidenhead","E01016534","Windsor and Maidenhead 006C","764975"
"E06000040","Windsor and Maidenhead","E01016535","Windsor and Maidenhead 007A","342500"
"E06000040","Windsor and Maidenhead","E01016537","Windsor and Maidenhead 007B","380000"
"E06000040","Windsor and Maidenhead","E01016543","Windsor and Maidenhead 009E","610000"
"E06000040","Windsor and Maidenhead","E01016540","Windsor and Maidenhead 009B","640000"
"E06000040","Windsor and Maidenhead","E01016539","Windsor and Maidenhead 009A","680000"
"E06000040","Windsor and Maidenhead","E01016541","Windsor and Maidenhead 009C","495000"
"E06000040","Windsor and Maidenhead","E01016542","Windsor and Maidenhead 009D","470000"
"E06000040","Windsor and Maidenhead","E01016545","Windsor and Maidenhead 012A","422500"
"E06000040","Windsor and Maidenhead","E01016544","Windsor and Maidenhead 010A","600000"
"E06000040","Windsor and Maidenhead","E01016547","Windsor and Maidenhead 012B","435000"
"E06000040","Windsor and Maidenhead","E01016546","Windsor and Maidenhead 015A","471750"
"E06000040","Windsor and Maidenhead","E01016549","Windsor and Maidenhead 014B","468500"
"E06000040","Windsor and Maidenhead","E01016548","Windsor and Maidenhead 014A","415000"
"E06000040","Windsor and Maidenhead","E01016550","Windsor and Maidenhead 012C","625000"
"E06000040","Windsor and Maidenhead","E01016552","Windsor and Maidenhead 012D","490000"
"E06000040","Windsor and Maidenhead","E01016551","Windsor and Maidenhead 013A","480000"
"E06000040","Windsor and Maidenhead","E01016553","Windsor and Maidenhead 013B","422500"
"E06000040","Windsor and Maidenhead","E01016554","Windsor and Maidenhead 014C","433500"
"E06000040","Windsor and Maidenhead","E01016555","Windsor and Maidenhead 014D","375000"
"E06000040","Windsor and Maidenhead","E01016557","Windsor and Maidenhead 013C","402500"
"E06000040","Windsor and Maidenhead","E01016556","Windsor and Maidenhead 014E","390000"
"E06000040","Windsor and Maidenhead","E01016558","Windsor and Maidenhead 013D","367500"
"E06000040","Windsor and Maidenhead","E01016560","Windsor and Maidenhead 008B","410000"
"E06000040","Windsor and Maidenhead","E01016562","Windsor and Maidenhead 008D","495000"
"E06000040","Windsor and Maidenhead","E01016563","Windsor and Maidenhead 008E","470000"
"E06000040","Windsor and Maidenhead","E01016561","Windsor and Maidenhead 008C","441000"
"E06000040","Windsor and Maidenhead","E01016559","Windsor and Maidenhead 008A","502000"
"E06000040","Windsor and Maidenhead","E01016565","Windsor and Maidenhead 011B","530000"
"E06000040","Windsor and Maidenhead","E01016566","Windsor and Maidenhead 011C","350000"
"E06000040","Windsor and Maidenhead","E01016564","Windsor and Maidenhead 011A","469500"
"E06000040","Windsor and Maidenhead","E01016567","Windsor and Maidenhead 010B","511500"
"E06000040","Windsor and Maidenhead","E01016569","Windsor and Maidenhead 010D","373750"
"E06000040","Windsor and Maidenhead","E01016568","Windsor and Maidenhead 010C","440250"
"E06000040","Windsor and Maidenhead","E01016570","Windsor and Maidenhead 001A","485000"
"E06000040","Windsor and Maidenhead","E01016573","Windsor and Maidenhead 003B","395000"
"E06000040","Windsor and Maidenhead","E01016571","Windsor and Maidenhead 003A","429000"
"E06000040","Windsor and Maidenhead","E01016572","Windsor and Maidenhead 001B","478500"
"E06000040","Windsor and Maidenhead","E01016574","Windsor and Maidenhead 003C","318000"
"E06000040","Windsor and Maidenhead","E01016577","Windsor and Maidenhead 011D","342500"
"E06000040","Windsor and Maidenhead","E01016575","Windsor and Maidenhead 016A","649950"
"E06000040","Windsor and Maidenhead","E01016576","Windsor and Maidenhead 016B","635000"
"E06000040","Windsor and Maidenhead","E01016579","Windsor and Maidenhead 002F","605000"
"E06000040","Windsor and Maidenhead","E01016581","Windsor and Maidenhead 002G","702500"
"E06000040","Windsor and Maidenhead","E01016578","Windsor and Maidenhead 002E","750000"
"E06000040","Windsor and Maidenhead","E01016580","Windsor and Maidenhead 008F","370000"
"E06000040","Windsor and Maidenhead","E01016585","Windsor and Maidenhead 004B","428750"
"E06000040","Windsor and Maidenhead","E01016582","Windsor and Maidenhead 001C","370000"
"E06000040","Windsor and Maidenhead","E01016586","Windsor and Maidenhead 004C","825000"
"E06000040","Windsor and Maidenhead","E01016583","Windsor and Maidenhead 004A","465000"
"E06000040","Windsor and Maidenhead","E01016584","Windsor and Maidenhead 005E","425075"
"E06000040","Windsor and Maidenhead","E01016587","Windsor and Maidenhead 016C","460000"
"E06000040","Windsor and Maidenhead","E01016588","Windsor and Maidenhead 016D","420000"
"E06000040","Windsor and Maidenhead","E01016589","Windsor and Maidenhead 016E","599950"
"E06000040","Windsor and Maidenhead","E01016591","Windsor and Maidenhead 004D","366950"
"E06000040","Windsor and Maidenhead","E01016594","Windsor and Maidenhead 007E","480000"
"E06000040","Windsor and Maidenhead","E01016593","Windsor and Maidenhead 007D","354750"
"E06000040","Windsor and Maidenhead","E01016592","Windsor and Maidenhead 004E","430000"
"E06000040","Windsor and Maidenhead","E01032734","Windsor and Maidenhead 005H","290000"
"E06000040","Windsor and Maidenhead","E01016597","Windsor and Maidenhead 015D","610000"
"E06000040","Windsor and Maidenhead","E01016595","Windsor and Maidenhead 015B","382500"
"E06000040","Windsor and Maidenhead","E01016596","Windsor and Maidenhead 015C","470000"
"E06000040","Windsor and Maidenhead","E01016599","Windsor and Maidenhead 003D","353500"
"E06000040","Windsor and Maidenhead","E01016601","Windsor and Maidenhead 006E","463000"
"E06000040","Windsor and Maidenhead","E01016598","Windsor and Maidenhead 006D","525000"
"E06000040","Windsor and Maidenhead","E01016602","Windsor and Maidenhead 006F","533500"
"E06000040","Windsor and Maidenhead","E01016600","Windsor and Maidenhead 001D","662500"
"E06000040","Windsor and Maidenhead","E01016603","Windsor and Maidenhead 018A","1275000"
"E06000040","Windsor and Maidenhead","E01016605","Windsor and Maidenhead 018C","580000"
"E06000040","Windsor and Maidenhead","E01016604","Windsor and Maidenhead 018B","650000"
"E06000040","Windsor and Maidenhead","E01016607","Windsor and Maidenhead 018E","1562500"
"E06000040","Windsor and Maidenhead","E01016608","Windsor and Maidenhead 018F","592000"
"E06000040","Windsor and Maidenhead","E01016606","Windsor and Maidenhead 018D","665000"
"E06000040","Windsor and Maidenhead","E01016609","Windsor and Maidenhead 017D","429000"
"E06000040","Windsor and Maidenhead","E01032733","Windsor and Maidenhead 005G","394000"
