"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000092","Rushmoor","E01023094","Rushmoor 006B","324250"
"E07000092","Rushmoor","E01023092","Rushmoor 005A","320000"
"E07000092","Rushmoor","E01023093","Rushmoor 005B","375000"
"E07000092","Rushmoor","E01023091","Rushmoor 006A","258000"
"E07000092","Rushmoor","E01023095","Rushmoor 006C","274000"
"E07000092","Rushmoor","E01023097","Rushmoor 004B","461750"
"E07000092","Rushmoor","E01023096","Rushmoor 004A","295000"
"E07000092","Rushmoor","E01023098","Rushmoor 006D","263500"
"E07000092","Rushmoor","E01023101","Rushmoor 003B","335000"
"E07000092","Rushmoor","E01023102","Rushmoor 003C","345000"
"E07000092","Rushmoor","E01023099","Rushmoor 001A","282000"
"E07000092","Rushmoor","E01023100","Rushmoor 003A","275000"
"E07000092","Rushmoor","E01023105","Rushmoor 002A","312000"
"E07000092","Rushmoor","E01023104","Rushmoor 001B","299000"
"E07000092","Rushmoor","E01023103","Rushmoor 004C","405000"
"E07000092","Rushmoor","E01023106","Rushmoor 001C","320000"
"E07000092","Rushmoor","E01023107","Rushmoor 012A","270000"
"E07000092","Rushmoor","E01023108","Rushmoor 012B","287500"
"E07000092","Rushmoor","E01023109","Rushmoor 011A","320000"
"E07000092","Rushmoor","E01023110","Rushmoor 012C","292000"
"E07000092","Rushmoor","E01023114","Rushmoor 007B","385000"
"E07000092","Rushmoor","E01023111","Rushmoor 004D","402372"
"E07000092","Rushmoor","E01023113","Rushmoor 007A","233500"
"E07000092","Rushmoor","E01023112","Rushmoor 004E","346750"
"E07000092","Rushmoor","E01023115","Rushmoor 011B","340000"
"E07000092","Rushmoor","E01023116","Rushmoor 011C","265000"
"E07000092","Rushmoor","E01023117","Rushmoor 011D","372000"
"E07000092","Rushmoor","E01023118","Rushmoor 009A","256000"
"E07000092","Rushmoor","E01023119","Rushmoor 002B","292500"
"E07000092","Rushmoor","E01023121","Rushmoor 001D","323500"
"E07000092","Rushmoor","E01023122","Rushmoor 002D","250000"
"E07000092","Rushmoor","E01023120","Rushmoor 002C","255000"
"E07000092","Rushmoor","E01023124","Rushmoor 009B","270000"
"E07000092","Rushmoor","E01032858","Rushmoor 009F","255000"
"E07000092","Rushmoor","E01023123","Rushmoor 012D","300000"
"E07000092","Rushmoor","E01023125","Rushmoor 009C","325500"
"E07000092","Rushmoor","E01023131","Rushmoor 010D","377500"
"E07000092","Rushmoor","E01023129","Rushmoor 010B","250000"
"E07000092","Rushmoor","E01023130","Rushmoor 010C","358000"
"E07000092","Rushmoor","E01023128","Rushmoor 010A","266750"
"E07000092","Rushmoor","E01023133","Rushmoor 005D","302500"
"E07000092","Rushmoor","E01023134","Rushmoor 003D","329000"
"E07000092","Rushmoor","E01023132","Rushmoor 005C","342750"
"E07000092","Rushmoor","E01023135","Rushmoor 005E","352500"
"E07000092","Rushmoor","E01023136","Rushmoor 007C","247000"
"E07000092","Rushmoor","E01023140","Rushmoor 007G","225000"
"E07000092","Rushmoor","E01023139","Rushmoor 007F","365655"
"E07000092","Rushmoor","E01023137","Rushmoor 007D","293750"
"E07000092","Rushmoor","E01023138","Rushmoor 007E","265000"
"E07000092","Rushmoor","E01023144","Rushmoor 008D","194750"
"E07000092","Rushmoor","E01023143","Rushmoor 008C","208000"
"E07000092","Rushmoor","E01023142","Rushmoor 008B","219995"
"E07000092","Rushmoor","E01023145","Rushmoor 010E","198000"
"E07000092","Rushmoor","E01023141","Rushmoor 008A","215500"
"E07000092","Rushmoor","E01023148","Rushmoor 006E","364000"
"E07000092","Rushmoor","E01023147","Rushmoor 003E","345000"
"E07000092","Rushmoor","E01023149","Rushmoor 006F","360000"
"E07000092","Rushmoor","E01023146","Rushmoor 002E","280000"
