"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000188","Sedgemoor","E01029085","Sedgemoor 001A","268000"
"E07000188","Sedgemoor","E01029086","Sedgemoor 003A","495000"
"E07000188","Sedgemoor","E01032633","Sedgemoor 002G","210000"
"E07000188","Sedgemoor","E01029089","Sedgemoor 002C","340000"
"E07000188","Sedgemoor","E01029093","Sedgemoor 008A","150500"
"E07000188","Sedgemoor","E01029090","Sedgemoor 010A","199995"
"E07000188","Sedgemoor","E01029091","Sedgemoor 010B","156000"
"E07000188","Sedgemoor","E01029092","Sedgemoor 010C","182975"
"E07000188","Sedgemoor","E01029095","Sedgemoor 009B","133000"
"E07000188","Sedgemoor","E01029094","Sedgemoor 009A","145500"
"E07000188","Sedgemoor","E01029096","Sedgemoor 008B","127000"
"E07000188","Sedgemoor","E01029099","Sedgemoor 013C","152475"
"E07000188","Sedgemoor","E01029101","Sedgemoor 014A","169950"
"E07000188","Sedgemoor","E01029097","Sedgemoor 013A","136500"
"E07000188","Sedgemoor","E01029098","Sedgemoor 013B","137000"
"E07000188","Sedgemoor","E01029100","Sedgemoor 013D","194000"
"E07000188","Sedgemoor","E01029104","Sedgemoor 011C","277475"
"E07000188","Sedgemoor","E01029102","Sedgemoor 011A","162000"
"E07000188","Sedgemoor","E01029103","Sedgemoor 011B","228500"
"E07000188","Sedgemoor","E01029105","Sedgemoor 013E","248000"
"E07000188","Sedgemoor","E01029106","Sedgemoor 008C","130000"
"E07000188","Sedgemoor","E01029108","Sedgemoor 010D","168975"
"E07000188","Sedgemoor","E01029109","Sedgemoor 008E","143000"
"E07000188","Sedgemoor","E01029107","Sedgemoor 008D","143000"
"E07000188","Sedgemoor","E01029112","Sedgemoor 009E","164000"
"E07000188","Sedgemoor","E01029111","Sedgemoor 009D","162500"
"E07000188","Sedgemoor","E01029110","Sedgemoor 009C","153725"
"E07000188","Sedgemoor","E01029114","Sedgemoor 004A","253250"
"E07000188","Sedgemoor","E01029115","Sedgemoor 002E","240000"
"E07000188","Sedgemoor","E01029116","Sedgemoor 004B","148975"
"E07000188","Sedgemoor","E01029113","Sedgemoor 002D","258000"
"E07000188","Sedgemoor","E01029117","Sedgemoor 004C","199950"
"E07000188","Sedgemoor","E01029118","Sedgemoor 005A","237000"
"E07000188","Sedgemoor","E01029120","Sedgemoor 004E","196975"
"E07000188","Sedgemoor","E01029119","Sedgemoor 004D","178500"
"E07000188","Sedgemoor","E01029125","Sedgemoor 007E","325000"
"E07000188","Sedgemoor","E01029123","Sedgemoor 007C","220000"
"E07000188","Sedgemoor","E01029122","Sedgemoor 007B","267500"
"E07000188","Sedgemoor","E01029121","Sedgemoor 007A","241250"
"E07000188","Sedgemoor","E01029124","Sedgemoor 007D","298000"
"E07000188","Sedgemoor","E01029127","Sedgemoor 001C","203000"
"E07000188","Sedgemoor","E01029129","Sedgemoor 001E","285975"
"E07000188","Sedgemoor","E01029128","Sedgemoor 001D","400500"
"E07000188","Sedgemoor","E01029126","Sedgemoor 001B","236250"
"E07000188","Sedgemoor","E01029130","Sedgemoor 012A","323500"
"E07000188","Sedgemoor","E01029131","Sedgemoor 005B","139950"
"E07000188","Sedgemoor","E01029133","Sedgemoor 005D","240000"
"E07000188","Sedgemoor","E01029132","Sedgemoor 005C","150000"
"E07000188","Sedgemoor","E01029134","Sedgemoor 005E","179100"
"E07000188","Sedgemoor","E01029136","Sedgemoor 006B","219000"
"E07000188","Sedgemoor","E01029135","Sedgemoor 006A","270000"
"E07000188","Sedgemoor","E01029137","Sedgemoor 012B","280000"
"E07000188","Sedgemoor","E01029139","Sedgemoor 012D","272500"
"E07000188","Sedgemoor","E01029138","Sedgemoor 012C","208500"
"E07000188","Sedgemoor","E01029140","Sedgemoor 002F","220000"
"E07000188","Sedgemoor","E01029144","Sedgemoor 014E","260000"
"E07000188","Sedgemoor","E01029142","Sedgemoor 014C","222500"
"E07000188","Sedgemoor","E01029143","Sedgemoor 014D","175000"
"E07000188","Sedgemoor","E01032629","Sedgemoor 014F","243500"
"E07000188","Sedgemoor","E01029145","Sedgemoor 006C","202500"
"E07000188","Sedgemoor","E01032632","Sedgemoor 011F","307500"
"E07000188","Sedgemoor","E01032634","Sedgemoor 011G","312000"
"E07000188","Sedgemoor","E01029149","Sedgemoor 003D","334000"
"E07000188","Sedgemoor","E01029147","Sedgemoor 003B","506500"
"E07000188","Sedgemoor","E01029148","Sedgemoor 003C","400000"
"E07000188","Sedgemoor","E01029150","Sedgemoor 012E","435000"
"E07000188","Sedgemoor","E01029151","Sedgemoor 012F","234750"
"E07000188","Sedgemoor","E01029152","Sedgemoor 006D","211000"
"E07000188","Sedgemoor","E01032630","Sedgemoor 014G","182250"
"E07000188","Sedgemoor","E01032631","Sedgemoor 011E","173625"
