"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000201","Forest Heath","E01029925","Forest Heath 008A","232500"
"E07000201","Forest Heath","E01032612","Forest Heath 008F","208750"
"E07000201","Forest Heath","E01029928","Forest Heath 001C","170000"
"E07000201","Forest Heath","E01029927","Forest Heath 001B","130000"
"E07000201","Forest Heath","E01029926","Forest Heath 001A","199950"
"E07000201","Forest Heath","E01029929","Forest Heath 001D","162500"
"E07000201","Forest Heath","E01029930","Forest Heath 001E","221500"
"E07000201","Forest Heath","E01032525","Forest Heath 003H","207500"
"E07000201","Forest Heath","E01033453","Forest Heath 002F","189000"
"E07000201","Forest Heath","E01032526","Forest Heath 003I","230000"
"E07000201","Forest Heath","E01032523","Forest Heath 003F","212500"
"E07000201","Forest Heath","E01032524","Forest Heath 003G","235000"
"E07000201","Forest Heath","E01029937","Forest Heath 006A","322995"
"E07000201","Forest Heath","E01029939","Forest Heath 004B","237500"
"E07000201","Forest Heath","E01029938","Forest Heath 004A","154500"
"E07000201","Forest Heath","E01029940","Forest Heath 004C","173000"
"E07000201","Forest Heath","E01029941","Forest Heath 005A","385000"
"E07000201","Forest Heath","E01029942","Forest Heath 002C","199500"
"E07000201","Forest Heath","E01029944","Forest Heath 002E","195000"
"E07000201","Forest Heath","E01029945","Forest Heath 003E","265000"
"E07000201","Forest Heath","E01029947","Forest Heath 004E","180000"
"E07000201","Forest Heath","E01029946","Forest Heath 004D","205000"
"E07000201","Forest Heath","E01033452","Forest Heath 005E","223000"
"E07000201","Forest Heath","E01033454","Forest Heath 005F","218000"
"E07000201","Forest Heath","E01029950","Forest Heath 008C","211250"
"E07000201","Forest Heath","E01029951","Forest Heath 008D","283000"
"E07000201","Forest Heath","E01029952","Forest Heath 008E","266250"
"E07000201","Forest Heath","E01029949","Forest Heath 008B","245000"
"E07000201","Forest Heath","E01029956","Forest Heath 006E","231500"
"E07000201","Forest Heath","E01029953","Forest Heath 006B","212500"
"E07000201","Forest Heath","E01029954","Forest Heath 006C","257000"
"E07000201","Forest Heath","E01029955","Forest Heath 006D","241000"
"E07000201","Forest Heath","E01029957","Forest Heath 005C","372500"
"E07000201","Forest Heath","E01033451","Forest Heath 005D","265000"
