"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000192","Cannock Chase","E01029348","Cannock Chase 003D","143000"
"E07000192","Cannock Chase","E01029345","Cannock Chase 003A","214000"
"E07000192","Cannock Chase","E01029346","Cannock Chase 003B","126500"
"E07000192","Cannock Chase","E01029347","Cannock Chase 003C","153000"
"E07000192","Cannock Chase","E01029353","Cannock Chase 011A","180000"
"E07000192","Cannock Chase","E01029349","Cannock Chase 008A","129250"
"E07000192","Cannock Chase","E01029352","Cannock Chase 008D","125000"
"E07000192","Cannock Chase","E01029351","Cannock Chase 008C","148500"
"E07000192","Cannock Chase","E01029350","Cannock Chase 008B","137500"
"E07000192","Cannock Chase","E01029358","Cannock Chase 007E","113000"
"E07000192","Cannock Chase","E01029354","Cannock Chase 007A","127000"
"E07000192","Cannock Chase","E01029356","Cannock Chase 007C","133000"
"E07000192","Cannock Chase","E01029355","Cannock Chase 007B","100500"
"E07000192","Cannock Chase","E01029357","Cannock Chase 007D","130000"
"E07000192","Cannock Chase","E01029363","Cannock Chase 012E","134250"
"E07000192","Cannock Chase","E01029361","Cannock Chase 012C","136250"
"E07000192","Cannock Chase","E01029362","Cannock Chase 012D","145000"
"E07000192","Cannock Chase","E01029359","Cannock Chase 012A","175000"
"E07000192","Cannock Chase","E01029360","Cannock Chase 012B","127250"
"E07000192","Cannock Chase","E01029364","Cannock Chase 011B","137500"
"E07000192","Cannock Chase","E01029365","Cannock Chase 011C","168000"
"E07000192","Cannock Chase","E01029366","Cannock Chase 011D","245000"
"E07000192","Cannock Chase","E01029367","Cannock Chase 011E","147500"
"E07000192","Cannock Chase","E01029370","Cannock Chase 001C","301500"
"E07000192","Cannock Chase","E01029368","Cannock Chase 001A","219000"
"E07000192","Cannock Chase","E01029369","Cannock Chase 001B","159500"
"E07000192","Cannock Chase","E01029372","Cannock Chase 002A","108500"
"E07000192","Cannock Chase","E01029371","Cannock Chase 001D","150000"
"E07000192","Cannock Chase","E01029373","Cannock Chase 002B","153000"
"E07000192","Cannock Chase","E01029374","Cannock Chase 003E","149000"
"E07000192","Cannock Chase","E01029376","Cannock Chase 010B","195000"
"E07000192","Cannock Chase","E01029378","Cannock Chase 010D","164000"
"E07000192","Cannock Chase","E01029375","Cannock Chase 010A","201497.5"
"E07000192","Cannock Chase","E01029377","Cannock Chase 010C","245000"
"E07000192","Cannock Chase","E01029379","Cannock Chase 006A","178250"
"E07000192","Cannock Chase","E01029381","Cannock Chase 009B","113500"
"E07000192","Cannock Chase","E01029382","Cannock Chase 009C","148750"
"E07000192","Cannock Chase","E01029380","Cannock Chase 009A","180000"
"E07000192","Cannock Chase","E01029383","Cannock Chase 004A","187950"
"E07000192","Cannock Chase","E01029385","Cannock Chase 004B","162500"
"E07000192","Cannock Chase","E01029384","Cannock Chase 005A","205495"
"E07000192","Cannock Chase","E01029388","Cannock Chase 004C","158000"
"E07000192","Cannock Chase","E01029386","Cannock Chase 005B","145000"
"E07000192","Cannock Chase","E01029389","Cannock Chase 005D","132500"
"E07000192","Cannock Chase","E01029387","Cannock Chase 005C","162475"
"E07000192","Cannock Chase","E01029390","Cannock Chase 004D",":"
"E07000192","Cannock Chase","E01029391","Cannock Chase 009D","171500"
"E07000192","Cannock Chase","E01029393","Cannock Chase 008E","173114"
"E07000192","Cannock Chase","E01029392","Cannock Chase 009E","167500"
"E07000192","Cannock Chase","E01029395","Cannock Chase 013B","212995"
"E07000192","Cannock Chase","E01029394","Cannock Chase 013A","182500"
"E07000192","Cannock Chase","E01029396","Cannock Chase 013C","179000"
"E07000192","Cannock Chase","E01029397","Cannock Chase 013D","148000"
"E07000192","Cannock Chase","E01029400","Cannock Chase 006D","224000"
"E07000192","Cannock Chase","E01029399","Cannock Chase 006C","138000"
"E07000192","Cannock Chase","E01029398","Cannock Chase 006B","245000"
"E07000192","Cannock Chase","E01029402","Cannock Chase 001E","177500"
"E07000192","Cannock Chase","E01029401","Cannock Chase 002C","142000"
"E07000192","Cannock Chase","E01029404","Cannock Chase 002E","158500"
"E07000192","Cannock Chase","E01029403","Cannock Chase 002D","139000"
