"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E09000020","Kensington and Chelsea","E01002816","Kensington and Chelsea 011C","2105000"
"E09000020","Kensington and Chelsea","E01002813","Kensington and Chelsea 011A","3000000"
"E09000020","Kensington and Chelsea","E01002814","Kensington and Chelsea 015A","2245575"
"E09000020","Kensington and Chelsea","E01002812","Kensington and Chelsea 013A","1130000"
"E09000020","Kensington and Chelsea","E01002815","Kensington and Chelsea 011B","675000"
"E09000020","Kensington and Chelsea","E01002817","Kensington and Chelsea 011D","2700000"
"E09000020","Kensington and Chelsea","E01002821","Kensington and Chelsea 014A","1425000"
"E09000020","Kensington and Chelsea","E01002822","Kensington and Chelsea 016B","2650000"
"E09000020","Kensington and Chelsea","E01002818","Kensington and Chelsea 012A","1585000"
"E09000020","Kensington and Chelsea","E01002819","Kensington and Chelsea 012B","2100000"
"E09000020","Kensington and Chelsea","E01002820","Kensington and Chelsea 016A","1250000"
"E09000020","Kensington and Chelsea","E01002823","Kensington and Chelsea 014B",":"
"E09000020","Kensington and Chelsea","E01002827","Kensington and Chelsea 008D","1420000"
"E09000020","Kensington and Chelsea","E01002826","Kensington and Chelsea 008C","1230000"
"E09000020","Kensington and Chelsea","E01002828","Kensington and Chelsea 008E","1475000"
"E09000020","Kensington and Chelsea","E01002824","Kensington and Chelsea 008A","1950000"
"E09000020","Kensington and Chelsea","E01002825","Kensington and Chelsea 008B","3962500"
"E09000020","Kensington and Chelsea","E01002830","Kensington and Chelsea 004B","825000"
"E09000020","Kensington and Chelsea","E01002832","Kensington and Chelsea 004D","900000"
"E09000020","Kensington and Chelsea","E01002831","Kensington and Chelsea 004C","865000"
"E09000020","Kensington and Chelsea","E01002833","Kensington and Chelsea 007A","1425000"
"E09000020","Kensington and Chelsea","E01002829","Kensington and Chelsea 004A","1042500"
"E09000020","Kensington and Chelsea","E01002838","Kensington and Chelsea 020A","1450000"
"E09000020","Kensington and Chelsea","E01002834","Kensington and Chelsea 013B","1370000"
"E09000020","Kensington and Chelsea","E01002839","Kensington and Chelsea 013C","825500"
