"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E07000040","East Devon","E01019886","East Devon 005A","315000"
"E07000040","East Devon","E01019887","East Devon 005B","160000"
"E07000040","East Devon","E01019888","East Devon 005C","179475"
"E07000040","East Devon","E01019889","East Devon 005D","226500"
"E07000040","East Devon","E01019890","East Devon 009A","320000"
"E07000040","East Devon","E01019891","East Devon 006A","355000"
"E07000040","East Devon","E01019892","East Devon 006B","240000"
"E07000040","East Devon","E01019893","East Devon 006C","271497.5"
"E07000040","East Devon","E01019896","East Devon 017C","350000"
"E07000040","East Devon","E01019894","East Devon 017A","350000"
"E07000040","East Devon","E01019897","East Devon 017D","202500"
"E07000040","East Devon","E01019895","East Devon 017B","500000"
"E07000040","East Devon","E01019898","East Devon 014A","380000"
"E07000040","East Devon","E01019900","East Devon 007B","310000"
"E07000040","East Devon","E01019899","East Devon 007A","295000"
"E07000040","East Devon","E01019901","East Devon 009B","368000"
"E07000040","East Devon","E01019902","East Devon 001A","165000"
"E07000040","East Devon","E01019903","East Devon 006D","250000"
"E07000040","East Devon","E01019904","East Devon 015A","251000"
"E07000040","East Devon","E01019905","East Devon 015B","325500"
"E07000040","East Devon","E01019906","East Devon 015C","245000"
"E07000040","East Devon","E01019907","East Devon 015D","295000"
"E07000040","East Devon","E01019908","East Devon 016A","245250"
"E07000040","East Devon","E01019910","East Devon 016C","307500"
"E07000040","East Devon","E01019911","East Devon 016D","246250"
"E07000040","East Devon","E01019909","East Devon 016B","292000"
"E07000040","East Devon","E01019915","East Devon 020D","335000"
"E07000040","East Devon","E01019912","East Devon 020A","230000"
"E07000040","East Devon","E01019914","East Devon 020C","245000"
"E07000040","East Devon","E01019913","East Devon 020B","260000"
"E07000040","East Devon","E01019918","East Devon 019C","266000"
"E07000040","East Devon","E01019917","East Devon 019B","261000"
"E07000040","East Devon","E01019916","East Devon 019A","157500"
"E07000040","East Devon","E01019919","East Devon 019D","206500"
"E07000040","East Devon","E01019921","East Devon 018B","239975"
"E07000040","East Devon","E01019920","East Devon 018A","218000"
"E07000040","East Devon","E01019923","East Devon 018D","217500"
"E07000040","East Devon","E01019924","East Devon 018E","192000"
"E07000040","East Devon","E01019922","East Devon 018C","248500"
"E07000040","East Devon","E01032628","East Devon 004G","287500"
"E07000040","East Devon","E01019925","East Devon 004A","204000"
"E07000040","East Devon","E01019930","East Devon 003C","227000"
"E07000040","East Devon","E01019931","East Devon 003D","292000"
"E07000040","East Devon","E01019929","East Devon 003B","210000"
"E07000040","East Devon","E01019928","East Devon 003A","215000"
"E07000040","East Devon","E01019927","East Devon 002A","136000"
"E07000040","East Devon","E01019932","East Devon 002B","226250"
"E07000040","East Devon","E01019934","East Devon 002D","310000"
"E07000040","East Devon","E01019933","East Devon 002C","180000"
"E07000040","East Devon","E01019935","East Devon 007C","280000"
"E07000040","East Devon","E01019936","East Devon 007D","283000"
"E07000040","East Devon","E01019937","East Devon 013A","310000"
"E07000040","East Devon","E01019938","East Devon 001B","415500"
"E07000040","East Devon","E01019939","East Devon 008A","610750"
"E07000040","East Devon","E01019940","East Devon 008B","405000"
"E07000040","East Devon","E01019943","East Devon 008D","285750"
"E07000040","East Devon","E01019942","East Devon 008C","365000"
"E07000040","East Devon","E01019944","East Devon 008E","238000"
"E07000040","East Devon","E01019945","East Devon 013B","350000"
"E07000040","East Devon","E01019946","East Devon 010A","370000"
"E07000040","East Devon","E01019947","East Devon 010B","205000"
"E07000040","East Devon","E01019948","East Devon 010C","247500"
"E07000040","East Devon","E01019949","East Devon 010D","279950"
"E07000040","East Devon","E01019950","East Devon 010E","239000"
"E07000040","East Devon","E01019951","East Devon 009C","400000"
"E07000040","East Devon","E01019952","East Devon 011A","325000"
"E07000040","East Devon","E01019953","East Devon 011B","377500"
"E07000040","East Devon","E01019954","East Devon 011C","235000"
"E07000040","East Devon","E01019955","East Devon 011D","294000"
"E07000040","East Devon","E01019956","East Devon 012A","280000"
"E07000040","East Devon","E01019957","East Devon 012B","375000"
"E07000040","East Devon","E01019958","East Devon 012C","347000"
"E07000040","East Devon","E01019959","East Devon 004D","387500"
"E07000040","East Devon","E01019960","East Devon 004E","370000"
"E07000040","East Devon","E01019961","East Devon 007E","360000"
"E07000040","East Devon","E01019962","East Devon 004F","360500"
"E07000040","East Devon","E01019965","East Devon 014C","386500"
"E07000040","East Devon","E01019964","East Devon 014B","680000"
"E07000040","East Devon","E01019963","East Devon 013C","322500"
"E07000040","East Devon","E01019966","East Devon 005E","384250"
"E07000040","East Devon","E01019967","East Devon 001C","455000"
