"LA_code","LA_name","LSOA_code","LSOA_name","y1"
"E06000043","Brighton and Hove","E01016852","Brighton and Hove 026B","290750"
"E06000043","Brighton and Hove","E01016850","Brighton and Hove 029A","315000"
"E06000043","Brighton and Hove","E01016851","Brighton and Hove 029B","357500"
"E06000043","Brighton and Hove","E01016853","Brighton and Hove 026C","305250"
"E06000043","Brighton and Hove","E01016849","Brighton and Hove 026A","358812.5"
"E06000043","Brighton and Hove","E01016854","Brighton and Hove 029C","285000"
"E06000043","Brighton and Hove","E01016858","Brighton and Hove 028B","357500"
"E06000043","Brighton and Hove","E01016856","Brighton and Hove 026E","314000"
"E06000043","Brighton and Hove","E01016855","Brighton and Hove 026D","315000"
"E06000043","Brighton and Hove","E01016859","Brighton and Hove 028C","379000"
"E06000043","Brighton and Hove","E01016857","Brighton and Hove 028A","349750"
"E06000043","Brighton and Hove","E01016860","Brighton and Hove 019A","290000"
"E06000043","Brighton and Hove","E01016869","Brighton and Hove 032B","417500"
"E06000043","Brighton and Hove","E01016862","Brighton and Hove 031B","310000"
"E06000043","Brighton and Hove","E01016861","Brighton and Hove 031A","385000"
"E06000043","Brighton and Hove","E01016863","Brighton and Hove 032A","430500"
"E06000043","Brighton and Hove","E01016865","Brighton and Hove 025B","282500"
"E06000043","Brighton and Hove","E01016864","Brighton and Hove 025A","348250"
"E06000043","Brighton and Hove","E01016866","Brighton and Hove 025C",":"
"E06000043","Brighton and Hove","E01016867","Brighton and Hove 025D","295000"
"E06000043","Brighton and Hove","E01016868","Brighton and Hove 025E",":"
"E06000043","Brighton and Hove","E01016876","Brighton and Hove 020D","275000"
"E06000043","Brighton and Hove","E01016877","Brighton and Hove 020E","350000"
"E06000043","Brighton and Hove","E01016878","Brighton and Hove 019E","325000"
"E06000043","Brighton and Hove","E01016870","Brighton and Hove 020A","430000"
"E06000043","Brighton and Hove","E01016873","Brighton and Hove 019D","270000"
"E06000043","Brighton and Hove","E01016872","Brighton and Hove 019C","315000"
"E06000043","Brighton and Hove","E01016874","Brighton and Hove 020B","310000"
"E06000043","Brighton and Hove","E01016871","Brighton and Hove 019B","327500"
"E06000043","Brighton and Hove","E01016875","Brighton and Hove 020C","550000"
"E06000043","Brighton and Hove","E01016883","Brighton and Hove 006B","450000"
"E06000043","Brighton and Hove","E01016882","Brighton and Hove 006A","325000"
"E06000043","Brighton and Hove","E01016886","Brighton and Hove 006E","405000"
"E06000043","Brighton and Hove","E01016880","Brighton and Hove 013B",":"
"E06000043","Brighton and Hove","E01016887","Brighton and Hove 013D","390000"
"E06000043","Brighton and Hove","E01016884","Brighton and Hove 006C","373750"
"E06000043","Brighton and Hove","E01016888","Brighton and Hove 013E","425000"
"E06000043","Brighton and Hove","E01016879","Brighton and Hove 013A","380000"
"E06000043","Brighton and Hove","E01016881","Brighton and Hove 013C","355000"
"E06000043","Brighton and Hove","E01016885","Brighton and Hove 006D","214250"
"E06000043","Brighton and Hove","E01016896","Brighton and Hove 022D","400000"
"E06000043","Brighton and Hove","E01016894","Brighton and Hove 022C","380000"
"E06000043","Brighton and Hove","E01016890","Brighton and Hove 015A","255000"
"E06000043","Brighton and Hove","E01016891","Brighton and Hove 022B","249950"
"E06000043","Brighton and Hove","E01016892","Brighton and Hove 018A","376500"
"E06000043","Brighton and Hove","E01016893","Brighton and Hove 018B","416375"
"E06000043","Brighton and Hove","E01016895","Brighton and Hove 025F","247500"
"E06000043","Brighton and Hove","E01016897","Brighton and Hove 022E","395500"
"E06000043","Brighton and Hove","E01016889","Brighton and Hove 022A","385500"
"E06000043","Brighton and Hove","E01016903","Brighton and Hove 010B","506250"
"E06000043","Brighton and Hove","E01016904","Brighton and Hove 008C",":"
"E06000043","Brighton and Hove","E01016905","Brighton and Hove 008D","242000"
"E06000043","Brighton and Hove","E01016898","Brighton and Hove 002A","290000"
"E06000043","Brighton and Hove","E01016899","Brighton and Hove 002B","484000"
"E06000043","Brighton and Hove","E01016902","Brighton and Hove 008B","390000"
"E06000043","Brighton and Hove","E01016901","Brighton and Hove 010A","380000"
"E06000043","Brighton and Hove","E01016900","Brighton and Hove 008A","300000"
"E06000043","Brighton and Hove","E01016911","Brighton and Hove 009E","300750"
"E06000043","Brighton and Hove","E01016907","Brighton and Hove 009B","318000"
"E06000043","Brighton and Hove","E01016906","Brighton and Hove 009A","300000"
"E06000043","Brighton and Hove","E01016910","Brighton and Hove 009D","330000"
"E06000043","Brighton and Hove","E01016913","Brighton and Hove 018D","343750"
"E06000043","Brighton and Hove","E01016914","Brighton and Hove 002C","290000"
"E06000043","Brighton and Hove","E01016915","Brighton and Hove 002D",":"
"E06000043","Brighton and Hove","E01016908","Brighton and Hove 009C","289000"
"E06000043","Brighton and Hove","E01016909","Brighton and Hove 008E","330750"
"E06000043","Brighton and Hove","E01016912","Brighton and Hove 018C","277250"
"E06000043","Brighton and Hove","E01016921","Brighton and Hove 012A","295000"
"E06000043","Brighton and Hove","E01016922","Brighton and Hove 012B","295000"
"E06000043","Brighton and Hove","E01016917","Brighton and Hove 005B","278750"
"E06000043","Brighton and Hove","E01016918","Brighton and Hove 005C","283000"
"E06000043","Brighton and Hove","E01016916","Brighton and Hove 005A","281750"
"E06000043","Brighton and Hove","E01016920","Brighton and Hove 005E","328298.5"
"E06000043","Brighton and Hove","E01016919","Brighton and Hove 005D","295000"
"E06000043","Brighton and Hove","E01016925","Brighton and Hove 004A","317500"
"E06000043","Brighton and Hove","E01016929","Brighton and Hove 001D","371500"
"E06000043","Brighton and Hove","E01016930","Brighton and Hove 004B","430000"
"E06000043","Brighton and Hove","E01016923","Brighton and Hove 003A","325000"
"E06000043","Brighton and Hove","E01016931","Brighton and Hove 001E","397500"
"E06000043","Brighton and Hove","E01016927","Brighton and Hove 001C","327500"
"E06000043","Brighton and Hove","E01016926","Brighton and Hove 001B","369000"
"E06000043","Brighton and Hove","E01016928","Brighton and Hove 003B","487500"
"E06000043","Brighton and Hove","E01016924","Brighton and Hove 001A","425000"
"E06000043","Brighton and Hove","E01016937","Brighton and Hove 014E","265500"
"E06000043","Brighton and Hove","E01016936","Brighton and Hove 014D","485000"
"E06000043","Brighton and Hove","E01016935","Brighton and Hove 014C","296500"
"E06000043","Brighton and Hove","E01016938","Brighton and Hove 024A","295000"
"E06000043","Brighton and Hove","E01016940","Brighton and Hove 010E","615000"
"E06000043","Brighton and Hove","E01016934","Brighton and Hove 010C","622500"
"E06000043","Brighton and Hove","E01016933","Brighton and Hove 014B","415000"
"E06000043","Brighton and Hove","E01016932","Brighton and Hove 014A","580000"
"E06000043","Brighton and Hove","E01016939","Brighton and Hove 010D","515000"
"E06000043","Brighton and Hove","E01016944","Brighton and Hove 031E","320000"
"E06000043","Brighton and Hove","E01016946","Brighton and Hove 018E","475000"
"E06000043","Brighton and Hove","E01016941","Brighton and Hove 030A","315000"
"E06000043","Brighton and Hove","E01016945","Brighton and Hove 030B","275000"
"E06000043","Brighton and Hove","E01016942","Brighton and Hove 031C","200000"
"E06000043","Brighton and Hove","E01016948","Brighton and Hove 030D","346000"
"E06000043","Brighton and Hove","E01016947","Brighton and Hove 030C","240000"
"E06000043","Brighton and Hove","E01016943","Brighton and Hove 031D","400000"
"E06000043","Brighton and Hove","E01016949","Brighton and Hove 030E","258250"
"E06000043","Brighton and Hove","E01016954","Brighton and Hove 029D","288500"
"E06000043","Brighton and Hove","E01016955","Brighton and Hove 029E","410000"
"E06000043","Brighton and Hove","E01016952","Brighton and Hove 027A","353500"
"E06000043","Brighton and Hove","E01016953","Brighton and Hove 027B","536896"
"E06000043","Brighton and Hove","E01016951","Brighton and Hove 024C","300000"
"E06000043","Brighton and Hove","E01016950","Brighton and Hove 024B","297500"
"E06000043","Brighton and Hove","E01016961","Brighton and Hove 033E","388750"
"E06000043","Brighton and Hove","E01016962","Brighton and Hove 033F","490000"
"E06000043","Brighton and Hove","E01016963","Brighton and Hove 032D","332500"
"E06000043","Brighton and Hove","E01016956","Brighton and Hove 033A","340000"
"E06000043","Brighton and Hove","E01016958","Brighton and Hove 033B","395000"
"E06000043","Brighton and Hove","E01016957","Brighton and Hove 032C","340000"
"E06000043","Brighton and Hove","E01016959","Brighton and Hove 033C","502500"
